DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass,Net Balance,Total Fossil,Total Green,Green Percentage,Month
2019-01-01 00:00:00,6352,6527,1395,79,1383,1896,1744,0,30,175,3640,1492,22.85889382564731,1
2019-01-01 01:00:00,6116,5701,1393,96,1112,1429,1641,0,30,-415,3070,1238,21.71548851078758,1
2019-01-01 02:00:00,5873,5676,1393,142,1030,1465,1616,0,30,-197,3081,1202,21.176885130373503,1
2019-01-01 03:00:00,5682,5603,1397,191,972,1455,1558,0,30,-79,3013,1193,21.29216491165447,1
2019-01-01 04:00:00,5557,5454,1393,159,960,1454,1458,0,30,-103,2912,1149,21.067106710671066,1
2019-01-01 05:00:00,5525,5385,1395,91,958,1455,1456,0,30,-140,2911,1079,20.03714020427112,1
2019-01-01 06:00:00,5513,5349,1392,98,938,1451,1440,0,31,-164,2891,1067,19.947653767059265,1
2019-01-01 07:00:00,5524,5547,1392,93,1187,1446,1394,0,34,23,2840,1314,23.688480259599785,1
2019-01-01 08:00:00,5510,5471,1391,51,1325,1357,1303,8,34,-39,2660,1418,25.918479254249682,1
2019-01-01 09:00:00,5617,5545,1388,15,1398,1328,1319,61,34,-72,2647,1508,27.195671776375114,1
2019-01-01 10:00:00,5643,5610,1390,-5,1410,1331,1324,126,34,-33,2655,1565,27.89661319073084,1
2019-01-01 11:00:00,5737,5733,1390,-17,1400,1428,1320,182,34,-4,2748,1599,27.89115646258503,1
2019-01-01 12:00:00,5776,5816,1390,-10,1416,1423,1357,206,34,40,2780,1646,28.301237964236588,1
2019-01-01 13:00:00,5744,5823,1389,15,1308,1412,1461,202,34,79,2873,1559,26.77314099261549,1
2019-01-01 14:00:00,5710,5721,1390,100,1245,1408,1383,160,33,11,2791,1538,26.883411990910677,1
2019-01-01 15:00:00,5813,5804,1392,193,1348,1423,1327,85,34,-9,2750,1660,28.600964851826326,1
2019-01-01 16:00:00,6009,5870,1392,304,1293,1435,1403,9,33,-139,2838,1639,27.921635434412266,1
2019-01-01 17:00:00,6613,6242,1391,510,1453,1442,1411,0,35,-371,2853,1998,32.008971483498875,1
2019-01-01 18:00:00,6718,6401,1391,754,1485,1448,1288,0,35,-317,2736,2274,35.525699109514136,1
2019-01-01 19:00:00,6721,6488,1393,916,1549,1303,1292,0,34,-233,2595,2499,38.51726263871763,1
2019-01-01 20:00:00,6632,6652,1394,1003,1588,1313,1320,0,33,20,2633,2624,39.44678292242935,1
2019-01-01 21:00:00,6441,6726,1390,1118,1518,1354,1312,0,34,285,2666,2670,39.696699375557536,1
2019-01-01 22:00:00,6222,6570,1391,1175,1389,1256,1323,0,34,348,2579,2598,39.54337899543379,1
2019-01-01 23:00:00,5936,6472,1390,1175,1196,1320,1359,0,33,536,2679,2404,37.14462299134734,1
2019-01-02 00:00:00,5647,6407,1391,1452,949,1297,1284,0,35,760,2581,2436,38.02091462462931,1
2019-01-02 01:00:00,5500,6036,1391,1668,662,1037,1243,0,35,536,2280,2365,39.18157720344599,1
2019-01-02 02:00:00,5385,6009,1392,1613,676,1036,1257,0,35,624,2293,2324,38.67532035280413,1
2019-01-02 03:00:00,5327,6062,1390,1823,534,1034,1246,0,35,735,2280,2392,39.4589244473771,1
2019-01-02 04:00:00,5362,5867,1390,1739,418,1021,1264,0,35,505,2285,2192,37.36151355036645,1
2019-01-02 05:00:00,5411,5878,1389,1592,499,1098,1265,0,35,467,2363,2126,36.16876488601565,1
2019-01-02 06:00:00,5510,5996,1388,1478,565,1258,1271,0,35,486,2529,2078,34.65643762508339,1
2019-01-02 07:00:00,5784,6300,1391,1357,925,1307,1285,0,36,516,2592,2318,36.7936507936508,1
2019-01-02 08:00:00,5999,6775,1390,1350,1181,1479,1331,7,36,776,2810,2574,37.99261992619926,1
