Month,Consumption,Green Percentage
1,7162.6418588988045,39.73767931695109
2,7143.740958151865,41.50802281087122
3,6654.052679217958,44.47533646732854
4,6134.714370782056,50.08249425414786
5,5835.671621621622,55.65532478093233
6,6036.618272095333,54.19039066205679
7,6423.4573135478895,42.51332661724838
8,6180.2390300230945,39.01920027149265
9,6010.236171906088,38.507895535046345
10,6241.848130393097,38.419441082082486
11,6780.942914171656,37.200877939267635
12,6953.12227158586,39.668046106372145
